"date","round","home","away","home_score","away_score"
2016-07-16,1,"Wisła Kraków","Pogoń Szczecin",2,1
2016-07-16,1,"Legia Warszawa","Jagiellonia Białystok",1,1
2016-07-16,1,"Ruch Chorzów","Górnik Łęczna",2,1
2016-07-15,1,"Śląsk Wrocław","Lech Poznań",0,0
2016-07-18,1,"Bruk-Bet Termalica Nieciecza","Arka Gdynia",2,0
2016-07-15,1,"Wisła Płock","Lechia Gdańsk",2,1
2016-07-17,1,"Zagłębie Lubin","Korona Kielce",4,0
2016-07-17,1,"Cracovia","Piast Gliwice",5,1
2016-07-24,2,"Lech Poznań","Zagłębie Lubin",0,2
2016-07-22,2,"Pogoń Szczecin","Korona Kielce",1,1
2016-07-23,2,"Legia Warszawa","Śląsk Wrocław",0,0
2016-07-24,2,"Piast Gliwice","Wisła Płock",2,1
2016-07-25,2,"Górnik Łęczna","Lechia Gdańsk",1,2
2016-07-24,2,"Bruk-Bet Termalica Nieciecza","Cracovia",3,2
2016-07-23,2,"Jagiellonia Białystok","Ruch Chorzów",4,1
2016-07-22,2,"Arka Gdynia","Wisła Kraków",3,0
2016-08-01,3,"Pogoń Szczecin","Śląsk Wrocław",0,2
2016-07-30,3,"Lechia Gdańsk","Wisła Kraków",3,1
2016-07-29,3,"Lech Poznań","Jagiellonia Białystok",0,2
2016-07-29,3,"Arka Gdynia","Ruch Chorzów",3,0
2016-07-31,3,"Górnik Łęczna","Cracovia",0,0
2016-07-30,3,"Wisła Płock","Legia Warszawa",2,3
2016-07-31,3,"Korona Kielce","Piast Gliwice",1,1
2016-07-31,3,"Zagłębie Lubin","Bruk-Bet Termalica Nieciecza",2,0
2016-08-06,4,"Korona Kielce","Lech Poznań",4,1
2016-08-06,4,"Bruk-Bet Termalica Nieciecza","Górnik Łęczna",2,1
2016-08-08,4,"Ruch Chorzów","Wisła Płock",2,2
2016-08-07,4,"Zagłębie Lubin","Pogoń Szczecin",1,1
2016-08-05,4,"Jagiellonia Białystok","Arka Gdynia",4,1
2016-08-05,4,"Cracovia","Wisła Kraków",2,1
2016-08-06,4,"Śląsk Wrocław","Lechia Gdańsk",0,0
2016-08-07,4,"Legia Warszawa","Piast Gliwice",0,0
2016-08-12,5,"Lechia Gdańsk","Korona Kielce",3,2
2016-08-13,5,"Arka Gdynia","Śląsk Wrocław",2,0
2016-08-15,5,"Wisła Płock","Jagiellonia Białystok",1,0
2016-08-14,5,"Piast Gliwice","Zagłębie Lubin",0,0
2016-08-12,5,"Lech Poznań","Cracovia",2,1
2016-08-13,5,"Górnik Łęczna","Legia Warszawa",1,0
2016-08-13,5,"Pogoń Szczecin","Bruk-Bet Termalica Nieciecza",5,0
2016-08-14,5,"Wisła Kraków","Ruch Chorzów",1,2
2016-08-19,6,"Bruk-Bet Termalica Nieciecza","Lech Poznań",0,0
2016-08-21,6,"Zagłębie Lubin","Górnik Łęczna",0,0
2016-08-19,6,"Śląsk Wrocław","Wisła Płock",0,0
2016-08-22,6,"Korona Kielce","Wisła Kraków",1,0
2016-08-21,6,"Jagiellonia Białystok","Lechia Gdańsk",0,1
2016-08-20,6,"Legia Warszawa","Arka Gdynia",1,3
2016-08-20,6,"Cracovia","Ruch Chorzów",1,1
2016-08-20,6,"Piast Gliwice","Pogoń Szczecin",0,2
2016-08-26,7,"Wisła Płock","Korona Kielce",1,2
2016-08-28,7,"Lech Poznań","Piast Gliwice",2,0
2016-08-27,7,"Pogoń Szczecin","Cracovia",1,1
2016-08-27,7,"Górnik Łęczna","Jagiellonia Białystok",0,2
2016-08-27,7,"Arka Gdynia","Zagłębie Lubin",1,1
2016-08-26,7,"Wisła Kraków","Śląsk Wrocław",1,5
2016-08-28,7,"Lechia Gdańsk","Bruk-Bet Termalica Nieciecza",1,2
2016-08-28,7,"Ruch Chorzów","Legia Warszawa",0,2
2016-09-11,8,"Lech Poznań","Pogoń Szczecin",3,1
2016-09-09,8,"Zagłębie Lubin","Wisła Płock",1,2
2016-09-10,8,"Korona Kielce","Arka Gdynia",1,0
2016-09-10,8,"Piast Gliwice","Górnik Łęczna",3,3
2016-09-09,8,"Cracovia","Lechia Gdańsk",0,1
2016-09-10,8,"Bruk-Bet Termalica Nieciecza","Legia Warszawa",2,1
2016-09-11,8,"Jagiellonia Białystok","Wisła Kraków",2,1
2016-09-12,8,"Śląsk Wrocław","Ruch Chorzów",1,2
2016-09-17,9,"Górnik Łęczna","Korona Kielce",4,0
2016-09-17,9,"Wisła Płock","Pogoń Szczecin",2,0
2016-09-18,9,"Legia Warszawa","Zagłębie Lubin",2,3
2016-09-19,9,"Arka Gdynia","Cracovia",1,0
2016-09-16,9,"Śląsk Wrocław","Jagiellonia Białystok",0,4
2016-09-16,9,"Ruch Chorzów","Bruk-Bet Termalica Nieciecza",0,1
2016-09-18,9,"Lechia Gdańsk","Lech Poznań",2,1
2016-09-17,9,"Wisła Kraków","Piast Gliwice",1,0
2016-09-26,10,"Piast Gliwice","Śląsk Wrocław",1,1
2016-09-23,10,"Bruk-Bet Termalica Nieciecza","Wisła Płock",0,0
2016-09-24,10,"Zagłębie Lubin","Cracovia",1,1
2016-09-24,10,"Pogoń Szczecin","Górnik Łęczna",1,1
2016-09-24,10,"Lechia Gdańsk","Ruch Chorzów",2,1
2016-09-25,10,"Korona Kielce","Jagiellonia Białystok",1,2
2016-09-25,10,"Lech Poznań","Arka Gdynia",0,0
2016-09-23,10,"Wisła Kraków","Legia Warszawa",0,0
2016-09-30,11,"Górnik Łęczna","Lech Poznań",1,2
2016-10-02,11,"Cracovia","Korona Kielce",6,0
2016-10-02,11,"Śląsk Wrocław","Bruk-Bet Termalica Nieciecza",1,2
2016-10-01,11,"Wisła Płock","Wisła Kraków",2,3
2016-10-02,11,"Jagiellonia Białystok","Pogoń Szczecin",0,0
2016-09-30,11,"Ruch Chorzów","Zagłębie Lubin",1,2
2016-10-01,11,"Legia Warszawa","Lechia Gdańsk",3,0
2016-10-01,11,"Arka Gdynia","Piast Gliwice",1,2
2016-10-15,12,"Piast Gliwice","Ruch Chorzów",2,1
2016-10-17,12,"Korona Kielce","Śląsk Wrocław",1,2
2016-10-15,12,"Zagłębie Lubin","Lechia Gdańsk",1,2
2016-10-14,12,"Pogoń Szczecin","Legia Warszawa",3,2
2016-10-15,12,"Górnik Łęczna","Arka Gdynia",0,0
2016-10-16,12,"Lech Poznań","Wisła Kraków",1,1
2016-10-14,12,"Cracovia","Wisła Płock",1,0
2016-10-16,12,"Bruk-Bet Termalica Nieciecza","Jagiellonia Białystok",0,0
2016-10-22,13,"Wisła Płock","Górnik Łęczna",1,2
2016-10-21,13,"Arka Gdynia","Pogoń Szczecin",0,3
2016-10-23,13,"Jagiellonia Białystok","Zagłębie Lubin",1,2
2016-10-22,13,"Śląsk Wrocław","Cracovia",2,2
2016-10-21,13,"Wisła Kraków","Bruk-Bet Termalica Nieciecza",2,0
2016-10-24,13,"Ruch Chorzów","Korona Kielce",4,0
2016-10-22,13,"Legia Warszawa","Lech Poznań",2,1
2016-10-23,13,"Lechia Gdańsk","Piast Gliwice",3,2
2016-10-28,14,"Piast Gliwice","Bruk-Bet Termalica Nieciecza",2,1
2016-10-29,14,"Pogoń Szczecin","Ruch Chorzów",2,1
2016-10-29,14,"Górnik Łęczna","Śląsk Wrocław",0,3
2016-10-29,14,"Lech Poznań","Wisła Płock",2,0
2016-10-31,14,"Zagłębie Lubin","Wisła Kraków",2,2
2016-10-28,14,"Korona Kielce","Legia Warszawa",2,4
2016-10-30,14,"Arka Gdynia","Lechia Gdańsk",1,1
2016-10-30,14,"Cracovia","Jagiellonia Białystok",1,3
2016-11-05,15,"Bruk-Bet Termalica Nieciecza","Korona Kielce",1,3
2016-11-06,15,"Śląsk Wrocław","Zagłębie Lubin",2,1
2016-11-06,15,"Wisła Kraków","Górnik Łęczna",3,2
2016-11-04,15,"Wisła Płock","Arka Gdynia",0,0
2016-11-04,15,"Ruch Chorzów","Lech Poznań",0,5
2016-11-05,15,"Lechia Gdańsk","Pogoń Szczecin",1,1
2016-11-06,15,"Legia Warszawa","Cracovia",2,0
2016-11-05,15,"Jagiellonia Białystok","Piast Gliwice",2,0
2016-11-20,16,"Arka Gdynia","Bruk-Bet Termalica Nieciecza",1,3
2016-11-19,16,"Górnik Łęczna","Ruch Chorzów",0,4
2016-11-18,16,"Piast Gliwice","Cracovia",2,2
2016-11-19,16,"Pogoń Szczecin","Wisła Kraków",6,2
2016-11-21,16,"Korona Kielce","Zagłębie Lubin",2,1
2016-11-20,16,"Lech Poznań","Śląsk Wrocław",3,0
2016-11-19,16,"Lechia Gdańsk","Wisła Płock",2,1
2016-11-18,16,"Jagiellonia Białystok","Legia Warszawa",1,4
2016-11-25,17,"Zagłębie Lubin","Lech Poznań",0,3
2016-11-26,17,"Wisła Kraków","Arka Gdynia",5,1
2016-11-25,17,"Cracovia","Bruk-Bet Termalica Nieciecza",1,3
2016-11-26,17,"Korona Kielce","Pogoń Szczecin",4,1
2016-11-28,17,"Lechia Gdańsk","Górnik Łęczna",3,0
2016-11-27,17,"Wisła Płock","Piast Gliwice",0,0
2016-11-27,17,"Śląsk Wrocław","Legia Warszawa",0,4
2016-11-26,17,"Ruch Chorzów","Jagiellonia Białystok",1,2
2016-12-03,18,"Piast Gliwice","Korona Kielce",1,0
2016-12-05,18,"Ruch Chorzów","Arka Gdynia",1,2
2016-12-02,18,"Bruk-Bet Termalica Nieciecza","Zagłębie Lubin",0,1
2016-12-03,18,"Wisła Kraków","Lechia Gdańsk",3,0
2016-12-03,18,"Śląsk Wrocław","Pogoń Szczecin",1,1
2016-12-04,18,"Cracovia","Górnik Łęczna",1,1
2016-12-04,18,"Jagiellonia Białystok","Lech Poznań",2,1
2016-12-02,18,"Legia Warszawa","Wisła Płock",2,2
2016-12-10,19,"Wisła Kraków","Cracovia",1,1
2016-12-10,19,"Górnik Łęczna","Bruk-Bet Termalica Nieciecza",3,0
2016-12-09,19,"Pogoń Szczecin","Zagłębie Lubin",1,1
2016-12-11,19,"Lech Poznań","Korona Kielce",1,0
2016-12-09,19,"Lechia Gdańsk","Śląsk Wrocław",3,0
2016-12-10,19,"Wisła Płock","Ruch Chorzów",4,3
2016-12-12,19,"Arka Gdynia","Jagiellonia Białystok",2,3
2016-12-11,19,"Piast Gliwice","Legia Warszawa",1,5
2016-12-19,20,"Zagłębie Lubin","Piast Gliwice",2,1
2016-12-16,20,"Ruch Chorzów","Wisła Kraków",1,0
2016-12-16,20,"Bruk-Bet Termalica Nieciecza","Pogoń Szczecin",2,0
2016-12-18,20,"Śląsk Wrocław","Arka Gdynia",0,2
2016-12-17,20,"Cracovia","Lech Poznań",1,1
2016-12-17,20,"Korona Kielce","Lechia Gdańsk",2,0
2016-12-17,20,"Jagiellonia Białystok","Wisła Płock",1,2
2016-12-18,20,"Legia Warszawa","Górnik Łęczna",5,0
2017-02-13,21,"Pogoń Szczecin","Piast Gliwice",2,1
2017-02-11,21,"Wisła Kraków","Korona Kielce",2,0
2017-02-12,21,"Wisła Płock","Śląsk Wrocław",1,1
2017-03-07,21,"Górnik Łęczna","Zagłębie Lubin",0,1
2017-02-10,21,"Ruch Chorzów","Cracovia",0,1
2017-02-10,21,"Lech Poznań","Bruk-Bet Termalica Nieciecza",3,0
2017-02-11,21,"Arka Gdynia","Legia Warszawa",0,1
2017-02-12,21,"Lechia Gdańsk","Jagiellonia Białystok",3,0
2017-02-20,22,"Zagłębie Lubin","Arka Gdynia",1,0
2017-02-17,22,"Bruk-Bet Termalica Nieciecza","Lechia Gdańsk",1,1
2017-02-18,22,"Śląsk Wrocław","Wisła Kraków",1,0
2017-02-19,22,"Cracovia","Pogoń Szczecin",1,1
2017-02-17,22,"Jagiellonia Białystok","Górnik Łęczna",5,0
2017-02-18,22,"Korona Kielce","Wisła Płock",4,2
2017-02-18,22,"Piast Gliwice","Lech Poznań",0,3
2017-02-19,22,"Legia Warszawa","Ruch Chorzów",1,3
2017-02-26,23,"Górnik Łęczna","Piast Gliwice",1,0
2017-02-25,23,"Wisła Kraków","Jagiellonia Białystok",3,1
2017-02-25,23,"Wisła Płock","Zagłębie Lubin",2,1
2017-02-24,23,"Arka Gdynia","Korona Kielce",4,1
2017-02-27,23,"Ruch Chorzów","Śląsk Wrocław",2,0
2017-02-24,23,"Pogoń Szczecin","Lech Poznań",0,3
2017-02-25,23,"Lechia Gdańsk","Cracovia",4,2
2017-02-26,23,"Legia Warszawa","Bruk-Bet Termalica Nieciecza",1,1
2017-03-04,24,"Piast Gliwice","Wisła Kraków",1,2
2017-03-04,24,"Cracovia","Arka Gdynia",1,1
2017-03-06,24,"Pogoń Szczecin","Wisła Płock",1,1
2017-03-03,24,"Korona Kielce","Górnik Łęczna",2,1
2017-03-05,24,"Lech Poznań","Lechia Gdańsk",1,0
2017-03-03,24,"Zagłębie Lubin","Legia Warszawa",1,3
2017-03-05,24,"Jagiellonia Białystok","Śląsk Wrocław",4,1
2017-03-04,24,"Bruk-Bet Termalica Nieciecza","Ruch Chorzów",0,0
2017-03-10,25,"Śląsk Wrocław","Piast Gliwice",3,4
2017-03-11,25,"Wisła Płock","Bruk-Bet Termalica Nieciecza",1,0
2017-03-11,25,"Ruch Chorzów","Lechia Gdańsk",2,1
2017-03-10,25,"Arka Gdynia","Lech Poznań",1,4
2017-03-13,25,"Cracovia","Zagłębie Lubin",1,1
2017-03-12,25,"Górnik Łęczna","Pogoń Szczecin",2,2
2017-03-11,25,"Jagiellonia Białystok","Korona Kielce",4,1
2017-03-12,25,"Legia Warszawa","Wisła Kraków",1,0
2017-03-18,26,"Piast Gliwice","Arka Gdynia",3,2
2017-03-18,26,"Zagłębie Lubin","Ruch Chorzów",0,1
2017-03-17,26,"Bruk-Bet Termalica Nieciecza","Śląsk Wrocław",1,2
2017-03-17,26,"Wisła Kraków","Wisła Płock",3,2
2017-03-18,26,"Pogoń Szczecin","Jagiellonia Białystok",0,0
2017-03-19,26,"Korona Kielce","Cracovia",3,0
2017-03-19,26,"Lech Poznań","Górnik Łęczna",0,0
2017-03-19,26,"Lechia Gdańsk","Legia Warszawa",1,2
2017-04-03,27,"Ruch Chorzów","Piast Gliwice",0,0
2017-04-01,27,"Arka Gdynia","Górnik Łęczna",2,4
2017-03-31,27,"Wisła Kraków","Lech Poznań",0,0
2017-03-31,27,"Śląsk Wrocław","Korona Kielce",3,0
2017-04-02,27,"Jagiellonia Białystok","Bruk-Bet Termalica Nieciecza",1,0
2017-04-02,27,"Lechia Gdańsk","Zagłębie Lubin",1,0
2017-04-01,27,"Wisła Płock","Cracovia",4,1
2017-04-01,27,"Legia Warszawa","Pogoń Szczecin",2,0
2017-04-07,28,"Zagłębie Lubin","Jagiellonia Białystok",3,4
2017-04-10,28,"Korona Kielce","Ruch Chorzów",1,0
2017-04-08,28,"Bruk-Bet Termalica Nieciecza","Wisła Kraków",2,3
2017-04-07,28,"Cracovia","Śląsk Wrocław",1,0
