"date","round","home","away","home_score","away_score"
2014-07-18,1,"Górnik Łęczna","Wisła Kraków",1,1
2014-07-21,1,"Górnik Zabrze","Cracovia",2,0
2014-07-19,1,"Jagiellonia Białystok","Lechia Gdańsk",2,2
2014-07-20,1,"Lech Poznań","Piast Gliwice",4,0
2014-07-19,1,"Legia Warszawa","GKS Bełchatów",0,1
2014-07-18,1,"Podbeskidzie Bielsko-Biała","Pogoń Szczecin",2,3
2014-07-20,1,"Śląsk Wrocław","Ruch Chorzów",2,0
2014-07-20,1,"Zawisza Bydgoszcz","Korona Kielce",2,0
2014-07-26,2,"Cracovia","Legia Warszawa",1,3
2014-07-25,2,"GKS Bełchatów","Korona Kielce",2,0
2014-07-27,2,"Górnik Zabrze","Lech Poznań",1,1
2014-07-25,2,"Lechia Gdańsk","Podbeskidzie Bielsko-Biała",1,0
2014-07-26,2,"Pogoń Szczecin","Śląsk Wrocław",4,1
2014-07-27,2,"Ruch Chorzów","Górnik Łęczna",1,2
2014-07-28,2,"Wisła Kraków","Piast Gliwice",1,1
2014-07-27,2,"Zawisza Bydgoszcz","Jagiellonia Białystok",1,3
2014-08-04,3,"Górnik Łęczna","GKS Bełchatów",1,1
2014-08-01,3,"Jagiellonia Białystok","Cracovia",2,1
2014-08-02,3,"Korona Kielce","Pogoń Szczecin",2,2
2014-08-03,3,"Lech Poznań","Wisła Kraków",2,3
2014-08-02,3,"Legia Warszawa","Górnik Zabrze",1,1
2014-08-01,3,"Piast Gliwice","Lechia Gdańsk",1,3
2014-08-03,3,"Podbeskidzie Bielsko-Biała","Ruch Chorzów",3,0
2014-08-03,3,"Śląsk Wrocław","Zawisza Bydgoszcz",2,1
2014-08-08,4,"Cracovia","Korona Kielce",2,1
2014-08-09,4,"GKS Bełchatów","Śląsk Wrocław",2,0
2014-08-08,4,"Górnik Zabrze","Jagiellonia Białystok",3,0
2014-08-10,4,"Lechia Gdańsk","Lech Poznań",1,2
2014-08-09,4,"Legia Warszawa","Górnik Łęczna",5,0
2014-08-11,4,"Pogoń Szczecin","Piast Gliwice",0,0
2014-08-10,4,"Wisła Kraków","Ruch Chorzów",2,2
2014-08-10,4,"Zawisza Bydgoszcz","Podbeskidzie Bielsko-Biała",1,2
2014-08-16,5,"Górnik Łęczna","Zawisza Bydgoszcz",5,2
2014-08-15,5,"Jagiellonia Białystok","Legia Warszawa",0,3
2014-08-15,5,"Korona Kielce","Górnik Zabrze",0,3
2014-08-16,5,"Lech Poznań","Pogoń Szczecin",1,1
2014-08-16,5,"Piast Gliwice","Ruch Chorzów",0,1
2014-08-18,5,"Podbeskidzie Bielsko-Biała","GKS Bełchatów",1,1
2014-08-17,5,"Śląsk Wrocław","Cracovia",0,0
2014-08-17,5,"Wisła Kraków","Lechia Gdańsk",3,1
2014-08-23,6,"Cracovia","Podbeskidzie Bielsko-Biała",1,3
2014-08-25,6,"GKS Bełchatów","Piast Gliwice",0,0
2014-08-23,6,"Górnik Zabrze","Górnik Łęczna",2,0
2014-08-23,6,"Jagiellonia Białystok","Śląsk Wrocław",1,3
2014-08-24,6,"Legia Warszawa","Korona Kielce",2,0
2014-08-22,6,"Pogoń Szczecin","Wisła Kraków",0,3
2014-08-24,6,"Ruch Chorzów","Lech Poznań",0,0
2014-08-22,6,"Zawisza Bydgoszcz","Lechia Gdańsk",0,2
2014-08-30,7,"Górnik Łęczna","Pogoń Szczecin",4,2
2014-08-30,7,"Korona Kielce","Jagiellonia Białystok",0,3
2014-08-31,7,"Lech Poznań","Cracovia",1,1
2014-08-31,7,"Lechia Gdańsk","Ruch Chorzów",3,3
2014-08-29,7,"Piast Gliwice","Zawisza Bydgoszcz",3,0
2014-08-31,7,"Podbeskidzie Bielsko-Biała","Legia Warszawa",2,1
2014-08-30,7,"Śląsk Wrocław","Górnik Zabrze",2,0
2014-08-29,7,"Wisła Kraków","GKS Bełchatów",1,0
2014-09-13,8,"Cracovia","Górnik Łęczna",2,1
2014-09-14,8,"GKS Bełchatów","Lechia Gdańsk",1,1
2014-09-14,8,"Górnik Zabrze","Piast Gliwice",1,2
2014-09-13,8,"Jagiellonia Białystok","Lech Poznań",1,0
2014-09-15,8,"Korona Kielce","Podbeskidzie Bielsko-Biała",2,1
2014-09-13,8,"Legia Warszawa","Śląsk Wrocław",4,3
2014-09-12,8,"Pogoń Szczecin","Ruch Chorzów",1,1
2014-09-12,8,"Zawisza Bydgoszcz","Wisła Kraków",2,4
2014-09-22,9,"Górnik Łęczna","Jagiellonia Białystok",0,0
2014-09-20,9,"Lech Poznań","Zawisza Bydgoszcz",6,2
2014-09-19,9,"Lechia Gdańsk","Pogoń Szczecin",0,1
2014-09-20,9,"Piast Gliwice","Cracovia",4,2
2014-09-20,9,"Podbeskidzie Bielsko-Biała","Górnik Zabrze",0,3
2014-09-21,9,"Ruch Chorzów","GKS Bełchatów",0,1
2014-09-19,9,"Śląsk Wrocław","Korona Kielce",1,0
2014-09-21,9,"Wisła Kraków","Legia Warszawa",0,3
2014-09-28,10,"Cracovia","Wisła Kraków",1,0
2014-09-27,10,"GKS Bełchatów","Pogoń Szczecin",1,0
2014-09-28,10,"Górnik Zabrze","Lechia Gdańsk",2,2
2014-09-29,10,"Jagiellonia Białystok","Podbeskidzie Bielsko-Biała",4,2
2014-09-26,10,"Korona Kielce","Piast Gliwice",1,0
2014-09-27,10,"Legia Warszawa","Lech Poznań",2,2
2014-09-26,10,"Śląsk Wrocław","Górnik Łęczna",2,1
2014-09-27,10,"Zawisza Bydgoszcz","Ruch Chorzów",1,1
2014-10-04,11,"Górnik Łęczna","Korona Kielce",1,0
2014-10-05,11,"Lech Poznań","GKS Bełchatów",5,0
2014-10-04,11,"Lechia Gdańsk","Cracovia",1,0
2014-10-05,11,"Piast Gliwice","Legia Warszawa",3,1
2014-10-03,11,"Podbeskidzie Bielsko-Biała","Śląsk Wrocław",2,2
2014-10-05,11,"Pogoń Szczecin","Zawisza Bydgoszcz",3,0
2014-10-04,11,"Ruch Chorzów","Górnik Zabrze",1,2
2014-10-03,11,"Wisła Kraków","Jagiellonia Białystok",0,2
2014-10-17,12,"Cracovia","Ruch Chorzów",1,0
2014-10-19,12,"Górnik Zabrze","Wisła Kraków",0,5
2014-10-18,12,"Jagiellonia Białystok","Pogoń Szczecin",5,0
2014-10-19,12,"Korona Kielce","Lech Poznań",2,2
2014-10-17,12,"Legia Warszawa","Lechia Gdańsk",1,0
2014-10-18,12,"Podbeskidzie Bielsko-Biała","Górnik Łęczna",1,0
2014-10-18,12,"Śląsk Wrocław","Piast Gliwice",3,0
2014-10-20,12,"Zawisza Bydgoszcz","GKS Bełchatów",2,1
2014-10-24,13,"GKS Bełchatów","Górnik Zabrze",1,0
2014-10-26,13,"Lech Poznań","Górnik Łęczna",1,0
2014-10-25,13,"Lechia Gdańsk","Śląsk Wrocław",1,4
2014-10-25,13,"Piast Gliwice","Jagiellonia Białystok",0,2
2014-10-25,13,"Pogoń Szczecin","Cracovia",2,1
2014-10-27,13,"Ruch Chorzów","Korona Kielce",0,1
2014-10-24,13,"Wisła Kraków","Podbeskidzie Bielsko-Biała",3,2
2014-10-26,13,"Zawisza Bydgoszcz","Legia Warszawa",1,2
2014-11-02,14,"Cracovia","Zawisza Bydgoszcz",1,0
2014-10-31,14,"Górnik Łęczna","Lechia Gdańsk",1,1
