"date","round","home","away","home_score","away_score"
2015-10-16,12,"Lechia Gdańsk","Górnik Zabrze",1,1
2015-10-16,12,"Śląsk Wrocław","Korona Kielce",0,1
2015-10-17,12,"Górnik Łęczna","Jagiellonia Białystok",3,2
2015-10-18,12,"Wisła Kraków","Termalica Bruk-Bet Nieciecza",0,0
2015-10-17,12,"Podbeskidzie Bielsko-Biała","Piast Gliwice",2,2
2015-10-18,12,"Legia Warszawa","Cracovia",3,1
2015-10-17,12,"Lech Poznań","Ruch Chorzów",2,2
2015-10-24,13,"Piast Gliwice","Korona Kielce",0,1
2015-10-23,13,"Jagiellonia Białystok","Wisła Kraków",1,4
2015-10-24,13,"Zagłębie Lubin","Górnik Łęczna",0,0
2015-10-25,13,"Termalica Bruk-Bet Nieciecza","Lechia Gdańsk",0,1
2015-10-26,13,"Górnik Zabrze","Podbeskidzie Bielsko-Biała",0,2
2015-10-23,13,"Ruch Chorzów","Śląsk Wrocław",1,0
2015-10-24,13,"Cracovia","Pogoń Szczecin",4,1
2015-10-25,13,"Legia Warszawa","Lech Poznań",0,1
2015-10-30,14,"Pogoń Szczecin","Górnik Zabrze",1,1
2015-10-31,14,"Lechia Gdańsk","Legia Warszawa",1,3
2015-10-31,14,"Śląsk Wrocław","Lech Poznań",1,1
2015-10-30,14,"Górnik Łęczna","Cracovia",1,0
2015-10-30,14,"Wisła Kraków","Ruch Chorzów",0,0
2015-11-02,14,"Podbeskidzie Bielsko-Biała","Jagiellonia Białystok",1,1
2015-11-02,14,"Korona Kielce","Termalica Bruk-Bet Nieciecza",0,1
2015-10-31,14,"Piast Gliwice","Zagłębie Lubin",2,0
2015-11-07,15,"Jagiellonia Białystok","Piast Gliwice",0,2
2015-11-06,15,"Zagłębie Lubin","Wisła Kraków",1,3
2015-11-07,15,"Termalica Bruk-Bet Nieciecza","Podbeskidzie Bielsko-Biała",0,2
2015-11-08,15,"Górnik Zabrze","Korona Kielce",0,1
2015-11-07,15,"Ruch Chorzów","Lechia Gdańsk",3,2
2015-11-06,15,"Cracovia","Śląsk Wrocław",4,1
2015-11-08,15,"Legia Warszawa","Pogoń Szczecin",1,0
2015-11-08,15,"Lech Poznań","Górnik Łęczna",3,1
2015-11-22,16,"Pogoń Szczecin","Lech Poznań",0,2
2015-11-23,16,"Cracovia","Lechia Gdańsk",3,0
2015-11-21,16,"Legia Warszawa","Śląsk Wrocław",1,0
2015-11-21,16,"Górnik Łęczna","Ruch Chorzów",0,3
2015-11-22,16,"Podbeskidzie Bielsko-Biała","Zagłębie Lubin",1,2
2015-11-21,16,"Jagiellonia Białystok","Korona Kielce",1,0
2015-11-20,16,"Termalica Bruk-Bet Nieciecza","Piast Gliwice",3,5
2015-11-20,16,"Górnik Zabrze","Wisła Kraków",1,1
2015-11-28,17,"Śląsk Wrocław","Pogoń Szczecin",0,0
2015-11-27,17,"Korona Kielce","Zagłębie Lubin",0,2
2015-12-16,17,"Termalica Bruk-Bet Nieciecza","Jagiellonia Białystok",2,0
2015-11-28,17,"Górnik Zabrze","Górnik Łęczna",1,1
2015-11-27,17,"Piast Gliwice","Ruch Chorzów",3,0
2015-11-29,17,"Wisła Kraków","Cracovia",1,2
2015-11-29,17,"Podbeskidzie Bielsko-Biała","Legia Warszawa",2,2
2015-11-29,17,"Lechia Gdańsk","Lech Poznań",0,1
2015-12-02,18,"Pogoń Szczecin","Lechia Gdańsk",1,0
2015-12-01,18,"Termalica Bruk-Bet Nieciecza","Śląsk Wrocław",1,1
2015-12-02,18,"Legia Warszawa","Górnik Łęczna",2,1
2015-12-02,18,"Lech Poznań","Wisła Kraków",2,0
2015-12-02,18,"Cracovia","Podbeskidzie Bielsko-Biała",4,1
2015-12-01,18,"Ruch Chorzów","Korona Kielce",2,1
2015-12-01,18,"Górnik Zabrze","Piast Gliwice",5,2
2015-12-01,18,"Zagłębie Lubin","Jagiellonia Białystok",0,2
2015-12-07,19,"Górnik Łęczna","Pogoń Szczecin",2,3
2015-12-06,19,"Lechia Gdańsk","Śląsk Wrocław",1,0
2015-12-04,19,"Zagłębie Lubin","Termalica Bruk-Bet Nieciecza",2,0
2015-12-04,19,"Jagiellonia Białystok","Górnik Zabrze",2,3
2015-12-05,19,"Podbeskidzie Bielsko-Biała","Ruch Chorzów",1,1
2015-12-05,19,"Piast Gliwice","Cracovia",2,2
2015-12-06,19,"Wisła Kraków","Legia Warszawa",0,2
2015-12-05,19,"Korona Kielce","Lech Poznań",0,1
2015-12-11,20,"Śląsk Wrocław","Górnik Łęczna",2,1
2015-12-12,20,"Lechia Gdańsk","Wisła Kraków",2,0
2015-12-12,20,"Pogoń Szczecin","Podbeskidzie Bielsko-Biała",2,0
2015-12-14,20,"Cracovia","Korona Kielce",2,2
2015-12-13,20,"Legia Warszawa","Piast Gliwice",1,1
2015-12-11,20,"Ruch Chorzów","Jagiellonia Białystok",0,4
2015-12-13,20,"Lech Poznań","Zagłębie Lubin",2,0
2015-12-12,20,"Górnik Zabrze","Termalica Bruk-Bet Nieciecza",0,0
2015-12-18,21,"Wisła Kraków","Pogoń Szczecin",0,1
2015-12-19,21,"Górnik Łęczna","Lechia Gdańsk",3,1
2015-12-21,21,"Podbeskidzie Bielsko-Biała","Śląsk Wrocław",0,1
2015-12-18,21,"Zagłębie Lubin","Górnik Zabrze",2,4
