"date","round","home","away","home_score","away_score"
2018-03-03,26,"Korona Kielce","Pogoń Szczecin",0,0
2018-03-04,26,"Legia Warszawa","Lech Poznań",2,1
2018-03-03,26,"Piast Gliwice","Górnik Zabrze",0,3
2018-03-03,26,"Śląsk Wrocław","Sandecja Nowy Sącz",0,0
2018-03-02,26,"Zagłębie Lubin","Lechia Gdańsk",0,0
2018-03-12,27,"Arka Gdynia","Bruk-Bet Termalica Nieciecza",4,0
2018-03-09,27,"Górnik Zabrze","Zagłębie Lubin",2,2
2018-03-11,27,"Lech Poznań","Jagiellonia Białystok",5,1
2018-03-11,27,"Lechia Gdańsk","Legia Warszawa",1,3
2018-03-10,27,"Pogoń Szczecin","Cracovia",0,3
2018-03-10,27,"Sandecja Nowy Sącz","Piast Gliwice",0,3
2018-03-09,27,"Wisła Kraków","Śląsk Wrocław",3,1
2018-03-10,27,"Wisła Płock","Korona Kielce",2,0
2018-03-17,28,"Bruk-Bet Termalica Nieciecza","Pogoń Szczecin",2,4
2018-03-18,28,"Cracovia","Sandecja Nowy Sącz",2,1
2018-03-17,28,"Jagiellonia Białystok","Arka Gdynia",3,2
2018-03-17,28,"Korona Kielce","Górnik Zabrze",2,2
2018-03-16,28,"Lech Poznań","Lechia Gdańsk",3,0
2018-03-18,28,"Legia Warszawa","Wisła Kraków",0,2
2018-03-16,28,"Piast Gliwice","Zagłębie Lubin",0,0
2018-03-18,28,"Śląsk Wrocław","Wisła Płock",1,1
2018-03-31,29,"Arka Gdynia","Legia Warszawa",1,0
2018-03-31,29,"Bruk-Bet Termalica Nieciecza","Cracovia",2,0
2018-03-31,29,"Górnik Zabrze","Sandecja Nowy Sącz",2,2
2018-03-31,29,"Korona Kielce","Lechia Gdańsk",1,0
2018-04-02,29,"Pogoń Szczecin","Śląsk Wrocław",3,2
2018-04-02,29,"Wisła Kraków","Lech Poznań",1,3
2018-04-02,29,"Wisła Płock","Piast Gliwice",1,0
2018-04-02,29,"Zagłębie Lubin","Jagiellonia Białystok",1,0
2018-04-07,30,"Cracovia","Zagłębie Lubin",2,2
2018-04-07,30,"Jagiellonia Białystok","Wisła Płock",1,3
2018-04-07,30,"Lech Poznań","Górnik Zabrze",3,1
2018-04-07,30,"Lechia Gdańsk","Arka Gdynia",4,2
2018-04-07,30,"Legia Warszawa","Pogoń Szczecin",3,0
2018-04-07,30,"Piast Gliwice","Bruk-Bet Termalica Nieciecza",1,1
2018-04-07,30,"Sandecja Nowy Sącz","Wisła Kraków",0,0
2018-04-07,30,"Śląsk Wrocław","Korona Kielce",1,1
2018-04-13,31,"Lech Poznań","Korona Kielce",0,1
2018-04-14,31,"Jagiellonia Białystok","Górnik Zabrze",1,2
2018-04-14,31,"Legia Warszawa","Zagłębie Lubin",0,1
2018-04-16,31,"Wisła Płock","Wisła Kraków",2,2
2018-04-13,31,"Arka Gdynia","Lechia Gdańsk",1,2
2018-04-14,31,"Cracovia","Piast Gliwice",2,1
2018-04-15,31,"Śląsk Wrocław","Sandecja Nowy Sącz",1,0
2018-04-15,31,"Pogoń Szczecin","Bruk-Bet Termalica Nieciecza",2,0
2018-04-20,32,"Zagłębie Lubin","Lech Poznań",0,1
2018-04-21,32,"Górnik Zabrze","Wisła Płock",0,1
2018-04-21,32,"Korona Kielce","Jagiellonia Białystok",0,3
2018-04-22,32,"Wisła Kraków","Legia Warszawa",0,1
2018-04-22,32,"Sandecja Nowy Sącz","Arka Gdynia",3,1
2018-04-21,32,"Piast Gliwice","Pogoń Szczecin",0,0
2018-04-23,32,"Lechia Gdańsk","Cracovia",0,0
2018-04-20,32,"Bruk-Bet Termalica Nieciecza","Śląsk Wrocław",1,2
2018-04-28,33,"Lech Poznań","Górnik Zabrze",2,4
2018-04-28,33,"Wisła Płock","Zagłębie Lubin",1,2
2018-04-29,33,"Jagiellonia Białystok","Wisła Kraków",0,1
2018-04-27,33,"Legia Warszawa","Korona Kielce",3,1
2018-04-27,33,"Arka Gdynia","Piast Gliwice",1,5
2018-04-28,33,"Pogoń Szczecin","Sandecja Nowy Sącz",2,0
2018-04-29,33,"Cracovia","Bruk-Bet Termalica Nieciecza",4,2
2018-04-30,33,"Śląsk Wrocław","Lechia Gdańsk",3,1
2018-05-05,34,"Wisła Płock","Lech Poznań",0,0
2018-05-06,34,"Jagiellonia Białystok","Legia Warszawa",0,0
2018-05-06,34,"Korona Kielce","Wisła Kraków",0,3
2018-05-06,34,"Zagłębie Lubin","Górnik Zabrze",0,2
2018-05-05,34,"Pogoń Szczecin","Arka Gdynia",3,2
2018-05-04,34,"Cracovia","Śląsk Wrocław",3,3
2018-05-04,34,"Lechia Gdańsk","Bruk-Bet Termalica Nieciecza",0,1
2018-05-05,34,"Sandecja Nowy Sącz","Piast Gliwice",2,1
2018-05-09,35,"Lech Poznań","Jagiellonia Białystok",0,2
2018-05-09,35,"Legia Warszawa","Wisła Płock",3,2
2018-05-09,35,"Górnik Zabrze","Korona Kielce",2,2
2018-05-09,35,"Wisła Kraków","Zagłębie Lubin",3,0
2018-05-08,35,"Arka Gdynia","Cracovia",2,0
2018-05-08,35,"Śląsk Wrocław","Pogoń Szczecin",2,0
2018-05-08,35,"Piast Gliwice","Lechia Gdańsk",0,2
2018-05-08,35,"Bruk-Bet Termalica Nieciecza","Sandecja Nowy Sącz",1,1
2018-05-13,36,"Wisła Kraków","Lech Poznań",1,1
2018-05-13,36,"Legia Warszawa","Górnik Zabrze",2,0
2018-05-13,36,"Zagłębie Lubin","Jagiellonia Białystok",1,2
2018-05-13,36,"Wisła Płock","Korona Kielce",4,1
2018-05-12,36,"Bruk-Bet Termalica Nieciecza","Arka Gdynia",2,1
2018-05-12,36,"Śląsk Wrocław","Piast Gliwice",3,1
2018-05-12,36,"Sandecja Nowy Sącz","Cracovia",0,1
2018-05-12,36,"Pogoń Szczecin","Lechia Gdańsk",1,1
2018-05-20,37,"Lech Poznań","Legia Warszawa",0,3
2018-05-20,37,"Górnik Zabrze","Wisła Kraków",2,0
2018-05-20,37,"Jagiellonia Białystok","Wisła Płock",2,1
2018-05-20,37,"Korona Kielce","Zagłębie Lubin",0,2
2018-05-19,37,"Arka Gdynia","Śląsk Wrocław",0,1
2018-05-19,37,"Piast Gliwice","Bruk-Bet Termalica Nieciecza",4,0
2018-05-19,37,"Cracovia","Pogoń Szczecin",1,4
2018-05-19,37,"Lechia Gdańsk","Sandecja Nowy Sącz",1,1
