"date","round","home","away","home_score","away_score"
2018-07-22,1,"Górnik Zabrze","Korona Kielce",1,1
2018-07-20,1,"Jagiellonia Białystok","Lechia Gdańsk",0,1
2018-07-21,1,"Legia Warszawa","Zagłębie Lubin",1,3
2018-07-20,1,"Miedź Legnica","Pogoń Szczecin",1,0
2018-07-21,1,"Śląsk Wrocław","Cracovia",3,1
2018-07-21,1,"Wisła Kraków","Arka Gdynia",0,0
2018-07-22,1,"Wisła Płock","Lech Poznań",1,2
2018-07-23,1,"Zagłębie Sosnowiec","Piast Gliwice",1,2
2018-07-29,2,"Arka Gdynia","Jagiellonia Białystok",0,2
2018-07-29,2,"Górnik Zabrze","Wisła Płock",1,1
2018-07-28,2,"Korona Kielce","Legia Warszawa",1,2
2018-07-29,2,"Lech Poznań","Cracovia",2,0
2018-07-27,2,"Lechia Gdańsk","Śląsk Wrocław",1,1
2018-07-30,2,"Pogoń Szczecin","Piast Gliwice",0,2
2018-07-27,2,"Wisła Kraków","Miedź Legnica",2,1
2018-07-28,2,"Zagłębie Lubin","Zagłębie Sosnowiec",2,1
2018-08-06,3,"Cracovia","Arka Gdynia",0,0
2018-08-05,3,"Jagiellonia Białystok","Wisła Kraków",1,0
2018-08-04,3,"Legia Warszawa","Lechia Gdańsk",0,0
2018-08-05,3,"Miedź Legnica","Górnik Zabrze",1,3
2018-08-04,3,"Piast Gliwice","Zagłębie Lubin",2,1
2018-08-05,3,"Śląsk Wrocław","Lech Poznań",0,1
2018-08-03,3,"Wisła Płock","Korona Kielce",1,2
2018-08-03,3,"Zagłębie Sosnowiec","Pogoń Szczecin",3,0
2018-08-11,4,"Arka Gdynia","Górnik Zabrze",1,1
2018-08-13,4,"Korona Kielce","Śląsk Wrocław",2,1
2018-08-12,4,"Lech Poznań","Zagłębie Sosnowiec",4,0
2018-08-10,4,"Lechia Gdańsk","Miedź Legnica",2,0
2018-08-12,4,"Piast Gliwice","Legia Warszawa",1,3
2018-08-11,4,"Pogoń Szczecin","Cracovia",1,1
2018-08-10,4,"Wisła Kraków","Wisła Płock",1,1
2018-08-12,4,"Zagłębie Lubin","Jagiellonia Białystok",0,2
2018-08-17,5,"Cracovia","Zagłębie Lubin",0,1
2018-08-18,5,"Górnik Zabrze","Lechia Gdańsk",0,2
2018-08-19,5,"Jagiellonia Białystok","Piast Gliwice",2,1
2018-08-19,5,"Lech Poznań","Wisła Kraków",2,5
2018-08-19,5,"Legia Warszawa","Zagłębie Sosnowiec",2,1
2018-08-17,5,"Miedź Legnica","Korona Kielce",1,1
2018-08-20,5,"Śląsk Wrocław","Pogoń Szczecin",0,0
2018-08-18,5,"Wisła Płock","Arka Gdynia",1,3
2018-08-26,6,"Jagiellonia Białystok","Miedź Legnica",2,3
2018-08-24,6,"Korona Kielce","Arka Gdynia",2,1
2018-08-26,6,"Legia Warszawa","Wisła Płock",1,4
2018-08-24,6,"Piast Gliwice","Cracovia",3,1
2018-08-25,6,"Pogoń Szczecin","Lechia Gdańsk",2,3
2018-08-25,6,"Wisła Kraków","Górnik Zabrze",3,0
2018-08-26,6,"Zagłębie Lubin","Lech Poznań",2,1
2018-08-27,6,"Zagłębie Sosnowiec","Śląsk Wrocław",3,3
2018-09-01,7,"Arka Gdynia","Zagłębie Sosnowiec",2,2
2018-09-02,7,"Cracovia","Legia Warszawa",0,0
2018-08-31,7,"Górnik Zabrze","Pogoń Szczecin",1,1
2018-09-01,7,"Lech Poznań","Piast Gliwice",1,1
2018-08-31,7,"Lechia Gdańsk","Korona Kielce",2,0
2018-09-02,7,"Miedź Legnica","Zagłębie Lubin",2,0
