"date","round","home","away","home_score","away_score"
2018-09-01,7,"Śląsk Wrocław","Wisła Kraków",0,1
2018-09-02,7,"Wisła Płock","Jagiellonia Białystok",1,1
2018-09-14,8,"Jagiellonia Białystok","Cracovia",3,1
2018-09-16,8,"Legia Warszawa","Lech Poznań",1,0
2018-09-15,8,"Piast Gliwice","Arka Gdynia",1,0
2018-09-16,8,"Pogoń Szczecin","Korona Kielce",1,1
2018-09-15,8,"Wisła Kraków","Lechia Gdańsk",5,2
2018-09-15,8,"Wisła Płock","Miedź Legnica",2,2
2018-09-14,8,"Zagłębie Lubin","Śląsk Wrocław",4,0
2018-09-17,8,"Zagłębie Sosnowiec","Górnik Zabrze",1,1
2018-09-21,9,"Arka Gdynia","Lech Poznań",1,0
2018-09-22,9,"Cracovia","Wisła Płock",3,1
2018-09-23,9,"Górnik Zabrze","Jagiellonia Białystok",1,3
2018-09-24,9,"Korona Kielce","Zagłębie Sosnowiec",3,1
2018-09-22,9,"Lechia Gdańsk","Zagłębie Lubin",3,3
2018-09-22,9,"Miedź Legnica","Legia Warszawa",1,4
2018-09-21,9,"Pogoń Szczecin","Wisła Kraków",2,1
2018-09-23,9,"Śląsk Wrocław","Piast Gliwice",4,1
2018-10-01,10,"Jagiellonia Białystok","Śląsk Wrocław",0,4
2018-09-30,10,"Lech Poznań","Miedź Legnica",2,1
2018-09-28,10,"Legia Warszawa","Arka Gdynia",1,1
2018-09-29,10,"Piast Gliwice","Górnik Zabrze",1,0
2018-09-29,10,"Wisła Kraków","Korona Kielce",0,1
2018-09-28,10,"Wisła Płock","Lechia Gdańsk",1,0
2018-09-29,10,"Zagłębie Lubin","Pogoń Szczecin",0,2
2018-09-30,10,"Zagłębie Sosnowiec","Cracovia",1,1
2018-10-07,11,"Arka Gdynia","Zagłębie Lubin",3,1
2018-10-07,11,"Cracovia","Wisła Kraków",0,2
2018-10-05,11,"Górnik Zabrze","Lech Poznań",2,2
2018-10-07,11,"Korona Kielce","Jagiellonia Białystok",1,1
2018-10-06,11,"Lechia Gdańsk","Zagłębie Sosnowiec",4,1
2018-10-05,11,"Miedź Legnica","Piast Gliwice",2,2
2018-10-06,11,"Pogoń Szczecin","Wisła Płock",4,0
2018-10-06,11,"Śląsk Wrocław","Legia Warszawa",0,1
2018-10-22,12,"Cracovia","Górnik Zabrze",2,0
2018-10-19,12,"Jagiellonia Białystok","Pogoń Szczecin",2,1
2018-10-20,12,"Lech Poznań","Korona Kielce",2,1
2018-10-21,12,"Legia Warszawa","Wisła Kraków",3,3
2018-10-19,12,"Piast Gliwice","Lechia Gdańsk",1,1
2018-10-20,12,"Śląsk Wrocław","Arka Gdynia",1,2
2018-10-21,12,"Zagłębie Lubin","Wisła Płock",3,3
2018-10-20,12,"Zagłębie Sosnowiec","Miedź Legnica",3,1
2018-10-28,13,"Górnik Zabrze","Zagłębie Lubin",2,0
2018-10-26,13,"Jagiellonia Białystok","Legia Warszawa",1,1
2018-10-28,13,"Korona Kielce","Cracovia",0,1
2018-10-27,13,"Lechia Gdańsk","Arka Gdynia",2,1
2018-10-26,13,"Miedź Legnica","Śląsk Wrocław",0,5
2018-10-27,13,"Pogoń Szczecin","Lech Poznań",3,0
2018-10-29,13,"Wisła Kraków","Zagłębie Sosnowiec",2,2
2018-10-27,13,"Wisła Płock","Piast Gliwice",1,1
2018-11-02,14,"Arka Gdynia","Pogoń Szczecin",2,3
2018-11-03,14,"Cracovia","Miedź Legnica",0,0
2018-11-04,14,"Lech Poznań","Lechia Gdańsk",0,1
2018-11-03,14,"Legia Warszawa","Górnik Zabrze",4,0
2018-11-02,14,"Piast Gliwice","Wisła Kraków",2,0
2018-11-03,14,"Śląsk Wrocław","Wisła Płock",0,3
2018-11-04,14,"Zagłębie Lubin","Korona Kielce",0,1
2018-11-05,14,"Zagłębie Sosnowiec","Jagiellonia Białystok",1,4
2018-11-09,15,"Górnik Zabrze","Śląsk Wrocław",2,2
2018-11-11,15,"Jagiellonia Białystok","Lech Poznań",2,2
2018-11-11,15,"Korona Kielce","Piast Gliwice",1,0
2018-11-10,15,"Lechia Gdańsk","Cracovia",1,0
2018-11-11,15,"Miedź Legnica","Arka Gdynia",0,4
2018-11-09,15,"Pogoń Szczecin","Legia Warszawa",2,1
2018-11-10,15,"Wisła Kraków","Zagłębie Lubin",3,2
2018-11-10,15,"Wisła Płock","Zagłębie Sosnowiec",2,0
2018-11-26,16,"Arka Gdynia","Wisła Kraków",4,1
2018-11-24,16,"Cracovia","Śląsk Wrocław",1,1
2018-11-24,16,"Korona Kielce","Górnik Zabrze",4,2
2018-11-24,16,"Lech Poznań","Wisła Płock",2,1
2018-11-25,16,"Lechia Gdańsk","Jagiellonia Białystok",3,2
2018-11-23,16,"Piast Gliwice","Zagłębie Sosnowiec",0,0
2018-11-25,16,"Pogoń Szczecin","Miedź Legnica",2,0
2018-11-25,16,"Zagłębie Lubin","Legia Warszawa",0,1
2018-12-02,17,"Cracovia","Lech Poznań",1,0
2018-11-30,17,"Jagiellonia Białystok","Arka Gdynia",3,1
2018-12-01,17,"Legia Warszawa","Korona Kielce",3,0
2018-12-01,17,"Miedź Legnica","Wisła Kraków",2,0
2018-12-03,17,"Piast Gliwice","Pogoń Szczecin",3,0
2018-11-30,17,"Śląsk Wrocław","Lechia Gdańsk",0,2
2018-12-01,17,"Wisła Płock","Górnik Zabrze",0,4
2018-12-02,17,"Zagłębie Sosnowiec","Zagłębie Lubin",1,2
2018-12-10,18,"Arka Gdynia","Cracovia",0,3
2018-12-09,18,"Górnik Zabrze","Miedź Legnica",1,3
2018-12-08,18,"Korona Kielce","Wisła Płock",2,2
2018-12-07,18,"Lech Poznań","Śląsk Wrocław",2,0
2018-12-09,18,"Lechia Gdańsk","Legia Warszawa",0,0
2018-12-08,18,"Pogoń Szczecin","Zagłębie Sosnowiec",1,0
2018-12-08,18,"Wisła Kraków","Jagiellonia Białystok",2,2
2018-12-07,18,"Zagłębie Lubin","Piast Gliwice",2,2
2018-12-15,19,"Cracovia","Pogoń Szczecin",2,1
2018-12-15,19,"Górnik Zabrze","Arka Gdynia",1,1
2018-12-14,19,"Jagiellonia Białystok","Zagłębie Lubin",0,4
2018-12-15,19,"Legia Warszawa","Piast Gliwice",2,0
2018-12-17,19,"Miedź Legnica","Lechia Gdańsk",0,0
2018-12-16,19,"Śląsk Wrocław","Korona Kielce",1,1
2018-12-14,19,"Wisła Płock","Wisła Kraków",1,2
2018-12-16,19,"Zagłębie Sosnowiec","Lech Poznań",0,6
2018-12-21,20,"Arka Gdynia","Wisła Płock",3,3
2018-12-22,20,"Korona Kielce","Miedź Legnica",0,0
2018-12-22,20,"Lechia Gdańsk","Górnik Zabrze",4,0
2018-12-21,20,"Piast Gliwice","Jagiellonia Białystok",1,1
2018-12-20,20,"Pogoń Szczecin","Śląsk Wrocław",2,1
2018-12-21,20,"Wisła Kraków","Lech Poznań",0,1
2018-12-22,20,"Zagłębie Lubin","Cracovia",1,2
2018-12-20,20,"Zagłębie Sosnowiec","Legia Warszawa",2,3
2019-02-10,21,"Arka Gdynia","Korona Kielce",1,2
2019-02-09,21,"Cracovia","Piast Gliwice",2,1
2019-02-11,21,"Górnik Zabrze","Wisła Kraków",2,0
2019-02-08,21,"Lech Poznań","Zagłębie Lubin",1,2
2019-02-09,21,"Lechia Gdańsk","Pogoń Szczecin",2,1
2019-02-08,21,"Miedź Legnica","Jagiellonia Białystok",0,3
2019-02-09,21,"Śląsk Wrocław","Zagłębie Sosnowiec",2,0
2019-02-10,21,"Wisła Płock","Legia Warszawa",0,1
2019-02-16,22,"Jagiellonia Białystok","Wisła Płock",1,0
2019-02-16,22,"Korona Kielce","Lechia Gdańsk",0,0
2019-02-17,22,"Legia Warszawa","Cracovia",0,2
2019-02-15,22,"Piast Gliwice","Lech Poznań",4,0
2019-02-15,22,"Pogoń Szczecin","Górnik Zabrze",3,1
2019-02-18,22,"Wisła Kraków","Śląsk Wrocław",1,0
2019-02-17,22,"Zagłębie Lubin","Miedź Legnica",3,0
2019-02-16,22,"Zagłębie Sosnowiec","Arka Gdynia",3,2
2019-02-22,23,"Arka Gdynia","Piast Gliwice",1,2
2019-02-24,23,"Cracovia","Jagiellonia Białystok",1,0
2019-02-23,23,"Górnik Zabrze","Zagłębie Sosnowiec",2,1
2019-02-22,23,"Korona Kielce","Pogoń Szczecin",1,1
2019-02-23,23,"Lech Poznań","Legia Warszawa",2,0
2019-02-23,23,"Lechia Gdańsk","Wisła Kraków",1,0
2019-02-24,23,"Miedź Legnica","Wisła Płock",2,1
2019-02-25,23,"Śląsk Wrocław","Zagłębie Lubin",2,0
2019-03-02,24,"Jagiellonia Białystok","Górnik Zabrze",2,2
2019-03-03,24,"Lech Poznań","Arka Gdynia",1,0
2019-03-01,24,"Legia Warszawa","Miedź Legnica",2,0
2019-03-01,24,"Piast Gliwice","Śląsk Wrocław",2,0
2019-03-03,24,"Wisła Kraków","Pogoń Szczecin",2,3
2019-03-02,24,"Wisła Płock","Cracovia",3,2
2019-03-04,24,"Zagłębie Lubin","Lechia Gdańsk",2,1
2019-03-02,24,"Zagłębie Sosnowiec","Korona Kielce",4,1
2019-03-09,25,"Arka Gdynia","Legia Warszawa",1,2
2019-03-09,25,"Cracovia","Zagłębie Sosnowiec",2,1
2019-03-08,25,"Górnik Zabrze","Piast Gliwice",0,2
2019-03-09,25,"Korona Kielce","Wisła Kraków",2,6
2019-03-11,25,"Lechia Gdańsk","Wisła Płock",1,1
2019-03-10,25,"Miedź Legnica","Lech Poznań",3,2
2019-03-10,25,"Pogoń Szczecin","Zagłębie Lubin",0,3
2019-03-08,25,"Śląsk Wrocław","Jagiellonia Białystok",2,0
2019-03-16,26,"Jagiellonia Białystok","Korona Kielce",1,3
2019-03-15,26,"Lech Poznań","Górnik Zabrze",0,3
2019-03-16,26,"Legia Warszawa","Śląsk Wrocław",1,0
2019-03-17,26,"Piast Gliwice","Miedź Legnica",2,1
2019-03-17,26,"Wisła Kraków","Cracovia",3,2
2019-03-15,26,"Wisła Płock","Pogoń Szczecin",0,2
2019-03-17,26,"Zagłębie Lubin","Arka Gdynia",0,0
2019-03-16,26,"Zagłębie Sosnowiec","Lechia Gdańsk",0,1
2019-03-30,27,"Arka Gdynia","Śląsk Wrocław",0,2
2019-03-29,27,"Górnik Zabrze","Cracovia",0,1
2019-03-30,27,"Korona Kielce","Lech Poznań",0,0
2019-03-29,27,"Lechia Gdańsk","Piast Gliwice",2,0
2019-03-30,27,"Miedź Legnica","Zagłębie Sosnowiec",0,2
2019-03-31,27,"Pogoń Szczecin","Jagiellonia Białystok",0,0
2019-03-31,27,"Wisła Kraków","Legia Warszawa",4,0
2019-03-29,27,"Wisła Płock","Zagłębie Lubin",0,1
2019-04-02,28,"Arka Gdynia","Lechia Gdańsk",0,0
2019-04-02,28,"Cracovia","Korona Kielce",2,1
2019-04-03,28,"Lech Poznań","Pogoń Szczecin",3,2
2019-04-03,28,"Legia Warszawa","Jagiellonia Białystok",3,0
2019-04-03,28,"Piast Gliwice","Wisła Płock",1,0
2019-04-02,28,"Śląsk Wrocław","Miedź Legnica",0,0
2019-04-02,28,"Zagłębie Lubin","Górnik Zabrze",1,1
2019-04-03,28,"Zagłębie Sosnowiec","Wisła Kraków",4,3
2019-04-07,29,"Górnik Zabrze","Legia Warszawa",1,2
2019-04-06,29,"Jagiellonia Białystok","Zagłębie Sosnowiec",2,1
2019-04-05,29,"Korona Kielce","Zagłębie Lubin",0,2
2019-04-06,29,"Lechia Gdańsk","Lech Poznań",1,0
2019-04-05,29,"Miedź Legnica","Cracovia",2,1
2019-04-07,29,"Pogoń Szczecin","Arka Gdynia",3,3
2019-04-06,29,"Wisła Kraków","Piast Gliwice",2,2
2019-04-08,29,"Wisła Płock","Śląsk Wrocław",2,0
2019-04-13,30,"Arka Gdynia","Miedź Legnica",1,1
2019-04-13,30,"Cracovia","Lechia Gdańsk",4,2
2019-04-13,30,"Lech Poznań","Jagiellonia Białystok",0,2
2019-04-13,30,"Legia Warszawa","Pogoń Szczecin",3,1
2019-04-13,30,"Piast Gliwice","Korona Kielce",4,0
2019-04-13,30,"Śląsk Wrocław","Górnik Zabrze",0,1
2019-04-13,30,"Zagłębie Lubin","Wisła Kraków",3,1
2019-04-13,30,"Zagłębie Sosnowiec","Wisła Płock",1,3
2019-04-20,31,"Lechia Gdańsk","Piast Gliwice",0,2
2019-04-20,31,"Zagłębie Lubin","Pogoń Szczecin",2,3
2019-04-20,31,"Legia Warszawa","Cracovia",1,0
2019-04-20,31,"Jagiellonia Białystok","Lech Poznań",3,3
2019-04-22,31,"Wisła Kraków","Wisła Płock",2,3
2019-04-22,31,"Korona Kielce","Śląsk Wrocław",2,0
2019-04-22,31,"Miedź Legnica","Zagłębie Sosnowiec",2,2
2019-04-22,31,"Górnik Zabrze","Arka Gdynia",1,0
2019-04-24,32,"Pogoń Szczecin","Lechia Gdańsk",3,4
2019-04-23,32,"Piast Gliwice","Zagłębie Lubin",1,0
2019-04-24,32,"Lech Poznań","Legia Warszawa",1,0
2019-04-23,32,"Cracovia","Jagiellonia Białystok",0,1
2019-04-25,32,"Zagłębie Sosnowiec","Wisła Kraków",2,1
2019-04-25,32,"Śląsk Wrocław","Górnik Zabrze",1,2
2019-04-25,32,"Wisła Płock","Korona Kielce",2,1
2019-04-25,32,"Arka Gdynia","Miedź Legnica",2,0
2019-04-27,33,"Lechia Gdańsk","Legia Warszawa",1,3
2019-04-26,33,"Piast Gliwice","Cracovia",3,1
2019-04-26,33,"Zagłębie Lubin","Jagiellonia Białystok",2,0
2019-04-27,33,"Pogoń Szczecin","Lech Poznań",1,1
2019-04-28,33,"Wisła Kraków","Śląsk Wrocław",1,1
2019-04-29,33,"Górnik Zabrze","Zagłębie Sosnowiec",4,0
2019-04-28,33,"Korona Kielce","Arka Gdynia",0,2
2019-04-28,33,"Miedź Legnica","Wisła Płock",3,2
2019-05-05,34,"Cracovia","Lechia Gdańsk",2,0
2019-05-04,34,"Legia Warszawa","Piast Gliwice",0,1
2019-05-06,34,"Jagiellonia Białystok","Pogoń Szczecin",4,2
2019-05-04,34,"Lech Poznań","Zagłębie Lubin",1,1
2019-05-03,34,"Górnik Zabrze","Wisła Kraków",1,2
2019-05-04,34,"Korona Kielce","Miedź Legnica",0,0
2019-05-03,34,"Wisła Płock","Arka Gdynia",1,1
2019-05-05,34,"Zagłębie Sosnowiec","Śląsk Wrocław",2,4
2019-05-12,35,"Lechia Gdańsk","Zagłębie Lubin",1,1
2019-05-11,35,"Cracovia","Lech Poznań",1,0
2019-05-12,35,"Legia Warszawa","Pogoń Szczecin",1,1
2019-05-12,35,"Piast Gliwice","Jagiellonia Białystok",2,1
2019-05-10,35,"Wisła Kraków","Korona Kielce",1,0
2019-05-11,35,"Miedź Legnica","Górnik Zabrze",0,1
2019-05-11,35,"Śląsk Wrocław","Wisła Płock",2,1
2019-05-10,35,"Arka Gdynia","Zagłębie Sosnowiec",2,0
2019-05-15,36,"Lech Poznań","Lechia Gdańsk",2,1
2019-05-15,36,"Zagłębie Lubin","Cracovia",1,2
2019-05-15,36,"Jagiellonia Białystok","Legia Warszawa",1,0
2019-05-15,36,"Pogoń Szczecin","Piast Gliwice",0,0
2019-05-13,36,"Arka Gdynia","Wisła Kraków",3,1
2019-05-14,36,"Miedź Legnica","Śląsk Wrocław",0,2
2019-05-14,36,"Zagłębie Sosnowiec","Korona Kielce",2,4
2019-05-14,36,"Górnik Zabrze","Wisła Płock",0,1
2019-05-19,37,"Lechia Gdańsk","Jagiellonia Białystok",2,0
2019-05-19,37,"Legia Warszawa","Zagłębie Lubin",2,2
2019-05-19,37,"Piast Gliwice","Lech Poznań",1,0
2019-05-19,37,"Cracovia","Pogoń Szczecin",0,3
2019-05-18,37,"Wisła Kraków","Miedź Legnica",4,5
2019-05-18,37,"Śląsk Wrocław","Arka Gdynia",4,0
2019-05-18,37,"Korona Kielce","Górnik Zabrze",0,3
2019-05-18,37,"Wisła Płock","Zagłębie Sosnowiec",0,0
